III, 3i Group Plc, 708.50, -1.50, -0.21
ADM, Admiral Group, 1878.00, 4.00, 0.21
AAL, Anglo American, 1309.00, -41.50, -3.07
ANTO, Antofagasta Holdings, 851.00, -17.50, -2.01
AHT, Ashtead Group plc, 1710.00, -13.00, -0.75
ABF, Associated British Foods plc, 2618.00, 34.00, 1.32
AZN, AstraZeneca plc, 4556.00, -6.00, -0.13
AV., Aviva plc, 508.50, 3.00, 0.59
BAB, Babcock International Group, 888.00, -11.50, -1.28
BA., BAE Systems plc, 605.50, -3.00, -0.49
BARC, Barclays plc, 235.15, -0.80, -0.34
BDEV, Barratt Developments plc, 517.00, 2.50, 0.49
BLT, BHP Billiton plc, 1367.50, -38.00, -2.70
BP., BP Plc, 447.70, -3.10, -0.69
BATS, British American Tobacco plc, 5000.00, 7.00, 0.14
BLND, British Land Co plc, 611.00, 2.50, 0.41
BT.A, BT Group plc, 327.25, 6.45, 2.01
BNZL, Bunzl plc, 2169.00, -5.00, -0.23
BRBY, Burberry Group plc, 1656.00, -9.00, -0.54
CPI, Capita plc, 558.50, 24.50, 4.59
CCL, Carnival plc, 4285.00, -15.00, -0.35
CNA, Centrica plc, 233.70, -0.90, -0.38
CCH, Coca-Cola HBC AG, 1950.00, -29.00, -1.47
CPG, Compass Group plc, 1468.00, 1.00, 0.07
CTEC, ConvaTec Group Plc, 235.90, 2.50, 1.07
CRH, CRH plc, 2786.00, -28.00, -1.00
CRDA, Croda International plc, 3344.00, -29.00, -0.86
DCC, DCC plc, 6830.00, 35.00, 0.52
DGE, Diageo plc, 2292.00, 15.00, 0.66
DLG, Direct Line Insurance Group plc, 356.10, -2.40, -0.67
DC., Dixons Carphone plc, 303.50, 2.40, 0.80
EZJ, easyJet plc, 974.00, 11.00, 1.14
EXPN, Experian Plc, 1602.00, 15.00, 0.95
FRES, Fresnillo, 1511.00, -1.00, -0.07
GKN, GKN plc, 348.80, -1.40, -0.40
GSK, GlaxoSmithKline plc, 1653.50, 8.00, 0.49
GLEN, Glencore plc, 325.75, -2.40, -0.73
HMSO, Hammerson, 585.00, 2.00, 0.34
HL., Hargreaves Lansdown plc, 1330.00, 8.00, 0.61
HIK, Hikma Pharmaceuticals, 2064.00, 17.00, 0.83
HSBA, HSBC Holdings plc, 679.70, 14.00, 2.10
IMB, Imperial Brands Group, 3784.50, 30.50, 0.81
INF, Informa plc, 666.50, 3.50, 0.53
IHG, InterContinental Hotels Group plc, 3770.00, -109.00, -2.81
IAG, International Consolidated Airlines Group SA, 506.50, -4.00, -0.78
ITRK, Intertek Group plc, 3505.00, -1.00, -0.03
INTU, Intu Properties plc, 275.40, -0.70, -0.25
ITV, ITV plc, 202.10, -1.20, -0.59
JMAT, Johnson Matthey Plc, 3044.00, -8.00, -0.26
KGF, Kingfisher, 326.40, -0.10, -0.03
LAND, Land Securities Group plc, 1059.00, 1.00, 0.09
LGEN, Legal & General Group plc, 245.20, 1.00, 0.41
LLOY, Lloyds Banking Group plc, 69.70, 2.93, 4.39
LSE, London Stock Exchange Group plc, 3114.00, 2.00, 0.06
MKS, Marks & Spencer Group plc, 326.80, 3.00, 0.93
MDC, Mediclinic International plc, 744.50, -9.50, -1.26
MERL, Merlin Entertainments plc, 498.90, 1.80, 0.36
MCRO, Micro Focus International plc, 2211.00, 22.00, 1.01
MNDI, Mondi Plc, 1837.00, -26.00, -1.40
MRW, Morrison (Wm) Supermarkets, 247.90, 2.70, 1.10
NG., National Grid, 970.00, 1.10, 0.11
NXT, Next plc, 3803.00, -9.00, -0.24
OML, Old Mutual Plc, 216.30, -1.80, -0.83
PPB, Paddy Power Betfair plc, 8490.00, 55.00, 0.65
PSON, Pearson plc, 634.50, -10.00, -1.55
PSN, Persimmon plc, 2026.00, 3.00, 0.15
PFG, Provident Financial plc, 2832.00, 33.00, 1.18
PRU, Prudential plc, 1623.50, 2.00, 0.12
RRS, Randgold Resources, 7435.00, 110.00, 1.50
RB., Reckitt Benckiser Group Plc, 7229.00, 154.00, 2.18
REL, RELX plc, 1479.00, 7.00, 0.48
RIO, Rio Tinto plc, 3608.00, -37.50, -1.03
RR., Rolls Royce Holdings Plc, 751.50, 19.00, 2.59
RBS, Royal Bank of Scotland Group plc, 251.50, -0.30, -0.12
RDSA, Royal Dutch Shell Plc A Shares, 2084.00, -10.00, -0.48
RDSB, Royal Dutch Shell Plc B Shares, 2177.00, -11.50, -0.53
